datetime,code,open,close,high,low,vol,amount,p_change
2015/4/16,2387.489258,2387.489258,2387.489258,2387.489258,2387.489258,2387.489258,2387.489258,2387.489258
2015/4/16,2383.365479,2383.365479,2383.365479,2383.365479,2383.365479,2383.365479,2383.365479,2383.365479
2015/4/16,2388.100098,2388.100098,2388.100098,2388.100098,2388.100098,2388.100098,2388.100098,2388.100098
2015/4/16,2412.537109,2412.537109,2412.537109,2412.537109,2412.537109,2412.537109,2412.537109,2412.537109
2015/4/16,2453.316406,2453.316406,2453.316406,2453.316406,2453.316406,2453.316406,2453.316406,2453.316406
2015/4/16,2439.112305,2439.112305,2439.112305,2439.112305,2439.112305,2439.112305,2439.112305,2439.112305
2015/4/16,2417.118896,2417.118896,2417.118896,2417.118896,2417.118896,2417.118896,2417.118896,2417.118896
2015/4/16,2449.192383,2449.192383,2449.192383,2449.192383,2449.192383,2449.192383,2449.192383,2449.192383
2015/4/16,2507.688477,2507.688477,2507.688477,2507.688477,2507.688477,2507.688477,2507.688477,2507.688477
2015/4/17,2526.321533,2526.321533,2526.321533,2526.321533,2526.321533,2526.321533,2526.321533,2526.321533
2015/4/17,2524.18335,2524.18335,2524.18335,2524.18335,2524.18335,2524.18335,2524.18335,2524.18335
2015/4/17,2490.429932,2490.429932,2490.429932,2490.429932,2490.429932,2490.429932,2490.429932,2490.429932
2015/4/17,2510.4375,2510.4375,2510.4375,2510.4375,2510.4375,2510.4375,2510.4375,2510.4375
2015/4/17,2492.873535,2492.873535,2492.873535,2492.873535,2492.873535,2492.873535,2492.873535,2492.873535
2015/4/17,2485.695313,2485.695313,2485.695313,2485.695313,2485.695313,2485.695313,2485.695313,2485.695313
2015/4/17,2503.411865,2503.411865,2503.411865,2503.411865,2503.411865,2503.411865,2503.411865,2503.411865
2015/4/17,2524.641602,2524.641602,2524.641602,2524.641602,2524.641602,2524.641602,2524.641602,2524.641602
2015/4/17,2484.931641,2484.931641,2484.931641,2484.931641,2484.931641,2484.931641,2484.931641,2484.931641
2015/4/20,2511.506836,2511.506836,2511.506836,2511.506836,2511.506836,2511.506836,2511.506836,2511.506836
2015/4/20,2494.706299,2494.706299,2494.706299,2494.706299,2494.706299,2494.706299,2494.706299,2494.706299
2015/4/20,2506.008545,2506.008545,2506.008545,2506.008545,2506.008545,2506.008545,2506.008545,2506.008545
2015/4/20,2514.561279,2514.561279,2514.561279,2514.561279,2514.561279,2514.561279,2514.561279,2514.561279
2015/4/20,2522.045166,2522.045166,2522.045166,2522.045166,2522.045166,2522.045166,2522.045166,2522.045166
2015/4/20,2482.793213,2482.793213,2482.793213,2482.793213,2482.793213,2482.793213,2482.793213,2482.793213
2015/4/20,2453.468994,2453.468994,2453.468994,2453.468994,2453.468994,2453.468994,2453.468994,2453.468994
2015/4/20,2430.101074,2430.101074,2430.101074,2430.101074,2430.101074,2430.101074,2430.101074,2430.101074
2015/4/20,2403.067871,2403.067871,2403.067871,2403.067871,2403.067871,2403.067871,2403.067871,2403.067871
2015/4/21,2433.30835,2433.30835,2433.30835,2433.30835,2433.30835,2433.30835,2433.30835,2433.30835
2015/4/21,2420.937256,2420.937256,2420.937256,2420.937256,2420.937256,2420.937256,2420.937256,2420.937256
2015/4/21,2432.239502,2432.239502,2432.239502,2432.239502,2432.239502,2432.239502,2432.239502,2432.239502
2015/4/21,2447.512451,2447.512451,2447.512451,2447.512451,2447.512451,2447.512451,2447.512451,2447.512451
2015/4/21,2446.290527,2446.290527,2446.290527,2446.290527,2446.290527,2446.290527,2446.290527,2446.290527
2015/4/21,2445.83252,2445.83252,2445.83252,2445.83252,2445.83252,2445.83252,2445.83252,2445.83252
2015/4/21,2438.043213,2438.043213,2438.043213,2438.043213,2438.043213,2438.043213,2438.043213,2438.043213
2015/4/21,2450.414307,2450.414307,2450.414307,2450.414307,2450.414307,2450.414307,2450.414307,2450.414307
2015/4/21,2469.658447,2469.658447,2469.658447,2469.658447,2469.658447,2469.658447,2469.658447,2469.658447
2015/4/22,2468.894775,2468.894775,2468.894775,2468.894775,2468.894775,2468.894775,2468.894775,2468.894775
2015/4/22,2484.473389,2484.473389,2484.473389,2484.473389,2484.473389,2484.473389,2484.473389,2484.473389
2015/4/22,2484.167969,2484.167969,2484.167969,2484.167969,2484.167969,2484.167969,2484.167969,2484.167969
2015/4/22,2495.469971,2495.469971,2495.469971,2495.469971,2495.469971,2495.469971,2495.469971,2495.469971
2015/4/22,2499.135498,2499.135498,2499.135498,2499.135498,2499.135498,2499.135498,2499.135498,2499.135498
2015/4/22,2503.870117,2503.870117,2503.870117,2503.870117,2503.870117,2503.870117,2503.870117,2503.870117
2015/4/22,2507.230225,2507.230225,2507.230225,2507.230225,2507.230225,2507.230225,2507.230225,2507.230225
2015/4/22,2536.096436,2536.096436,2536.096436,2536.096436,2536.096436,2536.096436,2536.096436,2536.096436
2015/4/22,2526.168945,2526.168945,2526.168945,2526.168945,2526.168945,2526.168945,2526.168945,2526.168945
2015/4/23,2530.750732,2530.750732,2530.750732,2530.750732,2530.750732,2530.750732,2530.750732,2530.750732
2015/4/23,2533.80542,2533.80542,2533.80542,2533.80542,2533.80542,2533.80542,2533.80542,2533.80542
2015/4/23,2509.21582,2509.21582,2509.21582,2509.21582,2509.21582,2509.21582,2509.21582,2509.21582
2015/4/23,2516.241455,2516.241455,2516.241455,2516.241455,2516.241455,2516.241455,2516.241455,2516.241455
